,AT,BE,BG,CH,CZ,DE,DK,EE,ES,FI,FR,GR,HR,HU,IE,LT,LU,LV,NL,NO,PL,PT,RO,RS,SE,SI,SK,UK_gridwatch
LU,0.10869390883672717,0.7494987473041399,0.06322746963462461,0.5802596507172525,0.5054620557451767,0.6837569121236254,,0.2177585909471992,0.270251639755134,,0.8203901637345414,-0.008321509730123218,-0.03744067951322493,0.10307653681412036,0.3428901078171671,0.2881556818605616,1.0,0.19039974144879684,0.6621453053409516,0.2552700939249525,0.3760252656143011,0.21160973836830188,0.08031462203021311,-0.06279949521862932,0.19030688936622348,,0.21235040605535518,0.47683614934067775
LV,0.09970677030165204,0.23091555565775315,-0.04462335690619722,0.21360483058236893,0.25254738691497225,0.29819018203865755,,0.6384621708511728,0.060498009974532856,,0.18617127671184636,0.046251727744871164,-0.09508285566726753,0.06022497692390095,0.15217536630813888,0.7046470088249992,0.19039974144879684,1.0,0.23369592839577372,0.24485762441546197,0.46876392177631343,0.07848869705802433,-0.014566966358198085,-0.020472177001033164,0.42483681476695256,,0.1890685504814674,0.2269426587229708
NL,0.16107007556348737,0.9219966659345721,0.05134979420180602,0.40274597546496926,0.4862738357607126,0.7873201603428207,,0.227452964865373,0.1869040949781571,,0.6236068891866691,-0.014205091676477967,-0.04580915218459678,0.13170861287621005,0.35776727722813967,0.29230889951433364,0.6621453053409516,0.23369592839577372,1.0,0.34715265589726235,0.39837320978540686,0.16145545122044105,0.06443221801775803,-0.07200777655302099,0.21376635858036827,,0.2742672028959039,0.7168019214884589
NO,0.12111960182575666,0.31397334420145434,0.16590115019024,0.22065673577773148,0.23631434404587215,0.38076129652453317,,0.26915497615543765,0.1205827200061592,,0.2591591106489273,0.10987338985450679,0.08048284260255188,0.11079608475895475,0.11447485020238568,0.23537883534277015,0.2552700939249525,0.24485762441546197,0.34715265589726235,1.0,0.26907790669810616,0.13160365352317493,0.15810819564518103,-0.002027431340350509,0.5431517585903703,,0.22076738862669856,0.3529525311164099
PL,0.4155158349862618,0.37234787908729255,0.09486659327309852,0.3302500002593762,0.7021774927925318,0.6857220190883362,,0.43759094540342025,0.14097207513843735,,0.33951088603724444,-0.008982032646356526,-0.1163391104886526,0.3699240371897958,0.1674758479495518,0.7046462130478338,0.3760252656143011,0.46876392177631343,0.39837320978540686,0.26907790669810616,1.0,0.1303673118016777,0.08282651664412519,-0.030108377556036375,0.3833996700197874,,0.4236533983562159,0.2869274236354009
PT,0.004807121531427098,0.178502936330801,0.08485056337628256,0.16912738512864908,0.1319113375815284,0.18644463285606627,,0.08391677671498557,0.6621937001073687,,0.2786489712274017,0.04209899605044551,-0.02690062722238247,-0.007850120685436031,0.06580170113238872,0.08558384144414888,0.21160973836830188,0.07848869705802433,0.16145545122044105,0.13160365352317493,0.1303673118016777,1.0,-0.0032485898117367165,0.060223319409219704,0.04239762501925724,,0.06770128349360813,0.13278061639263633
RO,0.19739748955939282,0.017918463605608625,0.7212174065821918,0.08311340935957458,0.12934375917915714,0.11282819567318454,,0.09075433520519376,0.04916752323021783,,0.05111718672784766,0.19406036917520106,0.23832096548504447,0.20090276666453616,0.007737538673857705,0.0646099454775468,0.08031462203021311,-0.014566966358198085,0.06443221801775803,0.15810819564518103,0.08282651664412519,-0.0032485898117367165,1.0,0.023878255186722354,0.17504094925501687,,0.1257186829064265,0.061960362135653785
RS,0.04202391571400239,-0.07359840425581485,0.036174913394654985,-0.04844903825420346,-0.10019356671664485,-0.11111452486118535,,-0.1334741189111001,0.05658213582240701,,-0.014854824927523418,0.06059134253988624,0.14272681653748692,0.05602873590886639,-0.09772053241904052,-0.06353876056496484,-0.06279949521862932,-0.020472177001033164,-0.07200777655302099,-0.002027431340350509,-0.030108377556036375,0.060223319409219704,0.023878255186722354,1.0,-0.1026264599937554,,-0.015495972405930973,-0.07555234620113299
SE,0.12447178618177974,0.17170951922031238,0.15716399183219654,0.16158945408662573,0.26836309726768287,0.31333851590589457,,0.5569604616480428,0.022497011926782936,,0.11690210821711612,0.11397071424830792,0.039344165960530336,0.12164945372963716,0.03770605269563389,0.46785900641573713,0.19030688936622348,0.42483681476695256,0.21376635858036827,0.5431517585903703,0.3833996700197874,0.04239762501925724,0.17504094925501687,-0.1026264599937554,1.0,,0.20941724955172297,0.1925346089401706
SI,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
SK,0.5724246208810309,0.2382261329860982,0.12084627037245933,0.288740008422392,0.5599084199420277,0.4085872988955533,,0.22801656075446347,0.07782105415731591,,0.1899669319392355,0.025974578710740735,-0.018651410228347244,0.5185721648565528,0.11809803821151965,0.3002535540996775,0.21235040605535518,0.1890685504814674,0.2742672028959039,0.22076738862669856,0.4236533983562159,0.06770128349360813,0.1257186829064265,-0.015495972405930973,0.20941724955172297,,1.0,0.20186972939152417
UK_gridwatch,0.09171461396275808,0.6902397646849001,0.058916685367444564,0.31487518071493237,0.3624714448824003,0.5718713691828604,,0.213880643994232,0.1638843845975577,,0.47382920200444073,0.026978872447635433,-0.008850212371810807,0.07860085719812232,0.6170190753097271,0.2273268326574969,0.47683614934067775,0.2269426587229708,0.7168019214884589,0.3529525311164099,0.2869274236354009,0.13278061639263633,0.061960362135653785,-0.07555234620113299,0.1925346089401706,,0.20186972939152417,1.0
