country1,country2,correlation_cf,n_obs
HR,LV,-0.01482751853095289,52496
HR,NL,-0.02698735912924213,52608
HR,NO,0.13476923423733908,52607
HR,PL,-0.007532667673737011,52608
HR,PT,0.08230790785950094,52608
HR,RO,0.24847295690109464,52608
HR,RS,0.21781053172850046,26304
HR,SE,0.09894565855389952,52607
HR,SI,,0
HR,SK,0.0934356947530991,8783
HU,IE,0.06943280560720944,87203
HU,IT,0.33336535917576104,87598
HU,LT,0.10170134646767724,86695
HU,LU,0.11247009017212276,87472
HU,LV,0.038940969967359955,87487
HU,NL,0.04220488208089246,87648
HU,NO,0.06131329914347116,87643
HU,PL,0.28337496954785074,87648
HU,PT,0.06300661733498632,87648
HU,RO,0.17502604640346925,87526
HU,RS,0.21306642177252935,26304
HU,SE,0.07202222890429388,87552
HU,SI,,0
HU,SK,0.6152870162825845,8783
IE,IT,0.0863461083051258,87178
IE,LT,0.13792255104267936,86275
IE,LU,0.2253601872205187,87052
IE,LV,0.12256735321529641,87078
IE,NL,0.2607681903264501,87227
IE,NO,0.20163553130408074,87223
IE,PL,0.18607670078801086,87227
IE,PT,0.0648421005823441,87227
IE,RO,0.06928500469865277,87108
IE,RS,-0.006613338090928042,26009
IE,SE,0.15960257982877601,87131
IE,SI,,0
IE,SK,0.1411959561011316,8632
IT,LT,0.07314807402046189,86694
IT,LU,0.1564742959263292,87446
IT,LV,0.043126021280645015,87461
IT,NL,0.10219788240117351,87622
IT,NO,0.10879821529225446,87617
IT,PL,0.11486322232322588,87622
IT,PT,0.16646725698825937,87622
IT,RO,0.2999857962438054,87525
IT,RS,0.30080729485268043,26304
IT,SE,0.04970608413334789,87550
IT,SI,,0
IT,SK,0.2338357584725633,8783
LT,LU,0.22672259648562987,86543
LT,LV,0.6948353446671169,86562
LT,NL,0.24821416660097545,86719
LT,NO,0.24908361351824812,86714
LT,PL,0.6611577362336282,86719
LT,PT,0.04066953717352997,86719
LT,RO,0.07816346605472999,86686
LT,RS,0.04649747490526615,26303
LT,SE,0.467419998227876,86711
LT,SI,,0
LT,SK,0.18464213718319655,8782
LU,LV,0.1563916028111713,87336
LU,NL,0.5370439094748582,87496
LU,NO,0.1468696138308246,87492
LU,PL,0.31691531857806216,87496
LU,PT,0.13161207500058025,87496
LU,RO,0.07168103232105277,87375
LU,RS,0.08536093338475194,26304
LU,SE,0.11311086292595351,87399
LU,SI,,0
LU,SK,0.20035016829267382,8783
LV,NL,0.24199262748454328,87511
LV,NO,0.28408386479548303,87507
LV,PL,0.47181700168550017,87511
LV,PT,0.010215575662626633,87511
LV,RO,0.05010491166018892,87391
LV,RS,0.0003999026929685146,26228
LV,SE,0.45938307767209846,87414
LV,SI,,0
LV,SK,0.1019872231996905,8783
NL,NO,0.2791456897716741,87667
NL,PL,0.3360092722979894,87672
NL,PT,0.08227712404787335,87672
NL,RO,0.034733724198488636,87550
NL,RS,0.01118847793282811,26304
NL,SE,0.17066890082643346,87575
NL,SI,,0
NL,SK,0.1042117507865365,8783
NO,PL,0.27678139987247197,87667
NO,PT,0.12554914350539767,87667
NO,RO,0.12546644684705804,87548
NO,RS,0.023884338822040576,26303
NO,SE,0.569442748299705,87570
NO,SI,,0
NO,SK,0.09193012520096412,8783
PL,PT,0.04804902082945623,87672
PL,RO,0.11788578744555527,87550
PL,RS,0.07882731793476552,26304
PL,SE,0.4220398344013932,87575
PL,SI,,0
PL,SK,0.377657148317538,8783
PT,RO,0.060143786178352684,87550
PT,RS,0.14338168267319962,26304
PT,SE,0.03473579014607975,87575
PT,SI,,0
PT,SK,0.19594097888077056,8783
RO,RS,0.12407955956080197,26304
RO,SE,0.11648588794229663,87548
RO,SI,,0
RO,SK,0.12504500072237537,8783
RS,SE,-0.013776152735077072,26303
RS,SI,,0
RS,SK,0.4273960898347448,8783
SE,SI,,0
SE,SK,0.09625215530783036,8783
SI,SK,,0
